日期,基金代码,基金名称,加权综合分,信号方向,信号强度,短期动量(权重1.2),中期动量(权重1.2),波动率倒数(权重1.0),回撤修复度(权重0.8),收益风险比(权重0.8),动量加速度(权重0.5),趋势一致性(权重0.5),负贡献因子数,主要拖累因子
2026-07-22,023299,汇添富中证A500指数增强C,-0.5,hold,hold,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1,趋势一致性(-1.0)
2026-07-22,017874,国金量化多策略C,-0.5,hold,hold,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1,趋势一致性(-1.0)
2026-07-22,510300,沪深300ETF,0.1,hold,hold,0.5,0.0,0.0,0.0,0.0,0.0,-1.0,1,趋势一致性(-1.0)
2026-07-22,005918,天弘沪深300ETF联接C,0.1,hold,hold,0.5,0.0,0.0,0.0,0.0,0.0,-1.0,1,趋势一致性(-1.0)
2026-07-22,027048,景顺长城中证科创创业人工智能ETF联接,0.19,hold,hold,0.0,0.0,-0.3125,0.0,0.0,0.5,0.5,1,波动率倒数(-0.3125)
2026-07-22,023917,华夏国证自由现金流ETF发起式联接A,0.19,hold,hold,1.0,-0.5,0.4375,-1.0,-1.0,1.0,0.5,3,中期动量(-0.5);回撤修复度(-1.0);收益风险比(-1.0)
2026-07-22,512880,证券ETF,0.45,hold,hold,0.5,0.0,0.0,-1.0,0.5,0.0,0.5,1,回撤修复度(-1.0)
2026-07-22,023639,国泰A股电网设备ETF联接C,0.6,hold,hold,0.5,0.0,-0.5,0.0,0.0,0.5,0.5,1,波动率倒数(-0.5)
2026-07-22,016186,广发电力ETF联接C,0.6,hold,hold,0.5,0.0,-0.5,0.0,0.0,0.5,0.5,1,波动率倒数(-0.5)
2026-07-22,017037,嘉实低碳精选混合发起式C,0.6,hold,hold,0.5,0.0,-0.5,0.0,0.0,0.5,0.5,1,波动率倒数(-0.5)
2026-07-22,014111,嘉实中证稀有金属主题ETF发起联接C,0.6,hold,hold,0.5,0.0,-0.5,0.0,0.0,0.5,0.5,1,波动率倒数(-0.5)
2026-07-22,016561,永赢启源混合发起C,0.6,hold,hold,0.5,0.0,-0.5,0.0,0.0,0.5,0.5,1,波动率倒数(-0.5)
2026-07-22,019059,易方达中证绿色电力ETF联接发起式C,0.6,hold,hold,0.5,0.0,-0.5,0.0,0.0,0.5,0.5,1,波动率倒数(-0.5)
2026-07-22,008715,景顺长城价值驱动一年持有混合,0.6,hold,hold,0.5,0.0,-0.5,0.0,0.0,0.5,0.5,1,波动率倒数(-0.5)
2026-07-22,004815,中欧红利优享混合C,0.75,hold,hold,1.0,0.0,0.0,-1.0,-0.5,1.0,0.5,2,回撤修复度(-1.0);收益风险比(-0.5)
2026-07-22,027013,广发港股通医疗创新精选混合C,0.79,hold,hold,0.5,0.0,-0.3125,0.0,0.0,0.5,0.5,1,波动率倒数(-0.3125)
2026-07-22,004011,华泰柏瑞易利灵活配置混合C,1.1,hold,hold,0.5,0.0,0.75,1.0,-1.0,0.5,-1.0,2,收益风险比(-1.0);趋势一致性(-1.0)
2026-07-22,019671,广发港股创新药ETF联接(QDII)C,1.15,hold,hold,1.0,0.0,0.0,-1.0,0.0,1.0,0.5,1,回撤修复度(-1.0)
2026-07-22,016702,银华海外数字经济量化选股混合发起式(QDII),2.0,buy,moderate_buy,0.0,1.0,0.0,0.0,1.0,-0.5,0.5,1,动量加速度(-0.5)
2026-07-22,513100,纳指ETF,2.25,buy,moderate_buy,0.5,0.5,0.0,0.0,1.0,0.0,0.5,0,—
2026-07-22,013149,鹏华双债加利债券C,2.55,buy,moderate_buy,0.5,0.0,0.5,1.0,0.5,0.0,0.5,0,—
2026-07-22,162719,广发道琼斯石油指数人民币A,2.65,buy,moderate_buy,1.0,0.0,0.0,0.0,0.5,0.5,1.0,0,—
